Tag, Count
figures, 1897
text, 1324
men, 1029
abstract, 974
women, 908
animals, 565
portraits, 517
landscapes, 462
trees, 385
humor, 383
satire, 380
flowers, 324
writing, 319
architecture, 308
design, 290
religion, 288
water, 283
social commentary, 276
lines, 273
nudes, 268
nature, 261
patterns, 247
weapons, 240
costume, 229
male, 221
black and white, 216
interiors, 208
sketches, 205
social interaction, 203
children, 198
narrative, 181
mountains, 178
boats, 173
decoration and ornament, 169
ancient, 165
caricatures, 160
decorative arts, 158
deaths, 154
buildings, 153
Christianity, 151
photographs, 150
drinking, 149
urban, 146
cities, 146
birds, 146
samurai, 142
food, 141
horses, 141
African American, 138
kimonos, 133
fighting, 131
indigenous people, 129
shape, 126
actors, 125
wars, 124
eating, 123
seas, 123
mythology, 123
utensils, 122
geometry, 120
female, 117
musical instruments, 112
kabuki, 110
sculpture, 108
red, 105
sitting, 105
still lifes, 104
vegetation, 103
soldiers, 103
deities, 103
politics, 99
social classes, 98
darkness, 98
painting, 97
night, 97
people, 96
domestic space, 95
photography, 94
symbolism, 93
crowds, 92
plants, 92
prints, 91
clouds, 91
military, 87
elderly, 85
rivers, 85
families, 84
public spaces, 84
houses, 82
heads, 82
tools, 80
streets, 80
standing, 79
blue, 78
perspective, 77
fashion, 76
representation, 75
nonrepresentational art, 75
creatures, 74
furniture, 73
workers, 71
inscriptions, 70
swords, 70
textile fabrics, 70
circles, 69
historical figures, 68
shadows, 68
bridges, 68
sky, 68
rural, 67
theater, 67
sex, 67
politicians, 66
archaeology, 66
adults, 65
girls, 64
labor, 63
flags, 63
light, 63
drawing, 63
time, 63
books, 62
violence, 62
white, 62
dogs, 61
fruit, 61
erotica, 61
windows, 60
angels, 59
music, 59
infants, 59
signatures, 59
masks, 59
faces, 58
fans, 58
anthropomorphic, 58
boys, 58
icons, 58
attacks, 58
fish, 57
calligraphy, 57
symmetry, 56
sports, 56
mother and child, 55
winter, 55
war victims, 55
seals, 55
royalty, 54
beaches, 54
darkrooms, 52
dance, 52
couples, 52
Native American, 52
pose, 52
self-portraits, 52
monks, 52
slavery, 51
Ukiyo-e, 51
reflection, 50
conceptual art, 50
suns, 49
battles, 49
uniforms, 49
snow, 49
corpses, 49
poverty, 48
households, 48
sexuality, 48
clothing, 47
biblical, 46
movement, 46
seascapes, 46
dots, 45
lithographs, 45
afterlife, 45
working, 44
gardens, 44
figurines, 44
performances, 43
killing, 43
vessels, 43
artists, 42
weather, 41
mothers, 41
worship, 41
stars, 41
elite, 40
profiles, 40
ceremonies, 40
boxes, 40
fires, 40
lanterns, 39
moons, 38
hats, 38
wrestling, 38
transportation, 37
documentation, 37
tables, 37
hands, 36
fishing, 36
square, 36
columns, 36
yellow, 35
green, 34
roads, 34
vehicles, 34
hunting, 34
Hinduism, 34
headdresses, 33
nobility, 33
umbrellas, 33
bedrooms, 32
drinks, 32
crime, 32
villages, 31
lighting, 31
fantasy, 31
marriage, 31
dresses, 30
trade, 30
cats, 30
collages, 30
Asian, 30
pipes, 30
Buddhism, 29
vases, 29
dancers, 29
performing artists, 29
jewelry, 29
illustrations, 28
emotion, 28
warriors, 28
historic sites, 28
screens, 28
communism, 28
environment, 27
walls, 27
travelers, 27
times of day, 27
beds, 27
mourning, 27
monkeys, 27
churches, 26
agriculture, 26
fields, 26
travel, 26
botany, 26
racism, 26
ruins, 26
toys, 26
servants, 26
automobiles, 26
funeral rites and ceremonies, 26
cartoons, 26
punishing, 25
prisons, 25
monochrome, 25
orange, 25
carriages, 25
rain, 25
insects, 25
folklore, 25
storefronts, 24
education, 24
realism, 24
towns, 24
entertaining, 24
hairstyles, 24
vegetables, 24
hills, 24
rocks, 24
calendars, 24
stairs, 23
recreation, 23
allegory, 23
political events, 23
exterior, 23
chairs, 23
plates, 23
seasons, 23
parks, 22
alcohol, 22
baths, 22
industries, 22
money, 22
bowls, 22
gemstones, 22
literature, 22
silhouettes, 21
international relations, 21
models and modelmaking, 21
black, 21
games, 21
eye, 21
penis, 21
depression, mental, 21
colonialism, 20
engravings, 20
French, 20
lovers, 20
mirrors, 20
containers, 20
signs, 20
pornography, 20
leisure, 19
storms, 19
reading, 19
battlefields, 19
power, 19
statues, 19
sadness, 19
leaves, 19
illness, 19
imprisonment, 19
waves, 19
personification, 19
sleeping, 19
police officers, 19
feminism, 19
tea, 18
witchcraft, 18
gesture, 18
bodies, 18
machines, 18
African, 18
rectangles, 18
color theory, 18
advertising, 17
halos, 17
sails, 17
national identity, 17
round, 17
virgins, 17
shops, 17
folk costume, 17
pain, 17
international, 17
numbers, 17
civil rights, 16
trains, 16
love, 16
woods, 16
grasses, 16
fertility, 16
lamps, 16
festivals, 16
gray, 16
local history, 15
forests, 15
busts, 15
sunshine, 15
fathers, 15
works of art, 15
snakes, 15
genre scenes, 15
desks, 15
blankets, 15
smoke, 14
etchings, 14
supernatural, 14
farms, 14
smoking, 14
piers, 14
gates, 14
carpets, 14
purple, 14
shoes, 14
human, 14
memory, 14
enslaved persons, 13
built environments, 13
communication, 13
race, 13
castles, 13
devils, 13
wings, 13
spirits, 13
technology, 13
structures, 13
anatomy, 13
courtyards, 13
nationality, 13
devotion, 12
summer, 12
students, 12
medicine, 12
wind, 12
baskets, 12
saints, 12
curtains, 12
celebrations, 12
arrows, 12
romances, 12
ballet, 12
sidewalks, 12
Political commentary, 12
peasants, 11
beards, 11
dreams, 11
bodhisattvas, 11
skulls, 11
film, 11
anger, 11
priests, 11
dress accessories, 11
play, 11
rooftops, 11
albums, 11
psychology, 10
barriers, 10
lakes, 10
parties, 10
bars, 10
vanity, 10
texture, 10
posters, 10
farmers, 10
markets, 10
science, 10
elephants, 10
bow and arrow, 10
wives, 10
Holocaust, Jewish (1939-1945), 10
feet, 10
towers, 10
drums, 10
negative space, 10
flight, 10
poetry, 10
monuments, 10
roughness, 10
pipe bag, 10
bright, 10
autumn, 9
swimming, 9
farm equipment, 9
art, 9
manuscripts, 9
feathers, 9
propaganda, 9
folk art, 9
puppets, 9
grids, 9
tents, 9
coastlines, 9
newspapers, 9
drama, 8
Judaism, 8
protests, 8
farming, 8
rest, 8
carts, 8
yards, 8
contemplation, 8
cloth, 8
curves, 8
physicians, 8
processions, 8
construction, 8
pink, 8
jugs, 8
teeth, 8
stations, 8
conflict, 8
poets, 8
letters, 8
courtesans, 8
pleasure, 7
breast, 7
deserts, 7
streams, 7
fountains, 7
crosses, 7
breastfeeding, 7
revolutions, 7
tablets, 7
justice, 7
stylization, 7
exhibitions, 7
sunset, 7
studios, 7
emperors, 7
temples, 7
goats, 7
bags, 7
dolls, 7
decorations, 7
gloves, 7
legs, 7
decay, 7
rape, 7
visions, 7
waterfalls, 6
crucifixions, 6
valleys, 6
homes, 6
clocks, 6
heroes, 6
praying, 6
lion, 6
aircraft, 6
spring, 6
cows, 6
Orthodox Eastern Church, 6
abstract;, 6
fog, 6
skeletons, 6
maps, 6
portfolios, 6
memorials, 6
benches, 6
cameras, 6
cliffs, 5
views, 5
World War, 1914-1918, 5
chickens, 5
pottery, 5
crafts, 5
branches, 5
cups, 5
pitchers, 5
disease, 5
damage, 5
factories, 5
social realism, 5
facial hairstyles, 5
restaurants, 5
suburbs, 5
speed, 5
Cyrillic, 5
demons, 5
cold, 5
rabbits, 5
daughters, 5
weddings, 5
births, 5
thieves, 5
imperialism, 5
nose, 5
knives, 5
horizon line, 5
reptiles, 5
tattoos, 5
professionals, 4
harbors, 4
merchants, 4
drowning, 4
bread, 4
morning, 4
ancestors, 4
cooking, 4
spears, 4
pastoral art, 4
brick, 4
necklaces, 4
pots, 4
gender identity, 4
skylines, 4
skyscrapers, 4
holidays, 4
languages, 4
beauty, 4
human life, 4
butterflies, 4
stories, 4
set design, 4
firearms, 4
doors, 4
rooms, 4
hygiene, 4
birthdays, 4
paths, 4
clowns, 4
kitchens, 4
fatigue, 4
women artists, 4
Shinto, 4
cosmetics, 4
covers, 3
caves, 3
tourism, 3
burlesques, 3
circuses, 3
craftsmen, 3
stores, 3
marginalia, 3
plazas, 3
torches, 3
truth, 3
neighborhoods, 3
art education, 3
tomatoes, 3
spirals, 3
spirituality, 3
shopping, 3
bombs, 3
cutting tools, 3
sheep, 3
miniatures, 3
bark, 3
brothels, 3
shores, 3
bibles, 3
Islam, 3
fables, 3
horns, 3
correspondence, 3
deterioration, 3
acting, 3
mice, 3
eyeglasses, 3
blood, 3
political posters, 3
brown, 3
comic books, 3
parades, 3
oval, 3
dawn, 3
rainbows, 3
cosmos, 3
bones, 3
doorways, 3
courtrooms, 3
optical illusions, 3
kites, 3
wealth, 3
skin, 3
deer, 3
rugs, 3
seating, 3
documentary photography, 3
photograph albums, 3
flutes, 3
weaving, 3
LGBTQ, 3
people with disabilities, 3
sexual orientation, 3
pedestals, 3
roots, 2
human rights, 2
fairy tales, 2
independence, 2
cactus, 2
classrooms, 2
classes, 2
knitting, 2
islands, 2
printing, 2
printing presses, 2
barns, 2
painters, 2
camels, 2
knights, 2
intensity, 2
parody, 2
stoves, 2
